,open,high,low,close,volume
2024-05-06 19:55:00,167.9,167.97,167.82,167.96,2957.0
2024-05-06 19:50:00,167.9,167.98,167.8,167.98,439.0
2024-05-06 19:45:00,167.94,167.98,167.8,167.98,460.0
2024-05-06 19:40:00,167.96,167.99,167.8,167.99,850.0
2024-05-06 19:35:00,167.97,167.97,167.8,167.8,6376.0
2024-05-06 19:30:00,168.0,168.07,167.91,167.91,1401.0
2024-05-06 19:25:00,167.95,168.02,167.91,168.02,970.0
2024-05-06 19:20:00,167.91,168.05,167.91,168.04,655.0
2024-05-06 19:15:00,168.1,168.1,167.9,167.91,2750.0
2024-05-06 19:10:00,167.95,168.05,167.9,168.05,2663.0
2024-05-06 19:05:00,168.0,168.04,167.93,167.95,823.0
2024-05-06 19:00:00,167.95,168.0,167.93,167.96,214.0
2024-05-06 18:55:00,167.978,168.0,167.93,167.96,877.0
2024-05-06 18:50:00,167.95,168.0,167.93,167.96,182.0
2024-05-06 18:45:00,167.94,167.97,167.93,167.95,547.0
2024-05-06 18:40:00,168.02,168.02,167.93,167.95,846.0
2024-05-06 18:35:00,167.97,168.037,167.93,167.95,327.0
2024-05-06 18:30:00,167.98,168.04,167.93,168.04,631.0
2024-05-06 18:25:00,168.05,168.05,167.98,168.0,422.0
2024-05-06 18:20:00,168.05,168.09,167.93,167.98,284.0
2024-05-06 18:15:00,168.1,168.1,167.92,167.92,568.0
2024-05-06 18:10:00,168.02,168.1,167.92,167.94,948.0
2024-05-06 18:05:00,168.1,168.1,168.0,168.0,262.0
2024-05-06 18:00:00,168.09,168.1,167.91,168.02,148.0
2024-05-06 17:55:00,167.91,168.1,167.91,168.09,88.0
2024-05-06 17:50:00,167.97,168.082,167.9,168.082,1246.0
2024-05-06 17:45:00,167.88,168.0,167.88,167.9,1203.0
2024-05-06 17:40:00,167.88,168.04,167.88,167.97,273.0
2024-05-06 17:35:00,168.09,168.11,167.88,167.88,7684.0
2024-05-06 17:30:00,168.05,168.1,168.05,168.1,1768.0
2024-05-06 17:25:00,168.04,168.09,167.99,168.05,3790.0
2024-05-06 17:20:00,167.9,168.04,167.87,167.99,7067.0
2024-05-06 17:15:00,167.82,167.92,167.82,167.9,702.0
2024-05-06 17:10:00,167.85,167.9,167.82,167.9,687.0
2024-05-06 17:05:00,167.86,167.93,167.85,167.87,1169.0
2024-05-06 17:00:00,167.84,168.1,159.574,167.86,433460.0
2024-05-06 16:55:00,167.76,167.93,160.308,167.85,10697.0
2024-05-06 16:50:00,167.76,167.81,167.76,167.76,936.0
2024-05-06 16:45:00,167.75,167.78,167.75,167.78,2323.0
2024-05-06 16:40:00,167.8,168.1,167.71,167.71,54804.0
2024-05-06 16:35:00,167.96,167.96,167.76,167.82,4499.0
2024-05-06 16:30:00,167.95,168.0,167.81,167.96,9001.0
2024-05-06 16:25:00,167.89,167.98,167.87,167.94,4430.0
2024-05-06 16:20:00,167.89,168.1,167.85,167.89,25813.0
2024-05-06 16:15:00,168.1,168.1,167.72,167.89,4453.0
2024-05-06 16:10:00,167.83,168.1,167.8,167.88,15460.0
2024-05-06 16:05:00,167.86,168.1,167.69,167.85,923571.0
2024-05-06 16:00:00,168.11,168.18,167.66,167.86,4974780.0
2024-05-06 15:55:00,167.6,168.14,167.48,168.11,1289462.0
2024-05-06 15:50:00,167.44,167.59,167.29,167.58,498110.0
2024-05-06 15:45:00,167.07,167.45,167.05,167.44,335555.0
2024-05-06 15:40:00,167.01,167.14,166.955,167.075,442595.0
2024-05-06 15:35:00,166.98,167.095,166.96,167.015,180370.0
2024-05-06 15:30:00,167.0,167.0,166.81,166.98,203618.0
2024-05-06 15:25:00,167.085,167.09,166.97,167.0,150864.0
2024-05-06 15:20:00,167.065,167.157,167.025,167.09,166767.0
2024-05-06 15:15:00,166.995,167.12,166.92,167.065,290610.0
2024-05-06 15:10:00,167.255,167.255,166.945,166.995,247177.0
2024-05-06 15:05:00,167.41,167.44,167.22,167.25,208809.0
2024-05-06 15:00:00,167.46,167.47,167.36,167.42,132135.0
2024-05-06 14:55:00,167.44,167.546,167.42,167.455,134792.0
2024-05-06 14:50:00,167.34,167.5,167.301,167.45,103130.0
2024-05-06 14:45:00,167.215,167.43,167.2,167.35,114342.0
2024-05-06 14:40:00,167.26,167.29,167.21,167.215,87661.0
2024-05-06 14:35:00,167.355,167.355,167.235,167.25,128416.0
2024-05-06 14:30:00,167.4,167.44,167.31,167.35,99280.0
2024-05-06 14:25:00,167.39,167.49,167.36,167.4,141026.0
2024-05-06 14:20:00,167.34,167.4,167.25,167.39,179023.0
2024-05-06 14:15:00,167.25,167.34,167.232,167.34,98288.0
2024-05-06 14:10:00,167.209,167.24,167.16,167.235,82171.0
2024-05-06 14:05:00,167.155,167.206,167.09,167.195,79351.0
2024-05-06 14:00:00,167.09,167.185,167.055,167.155,111785.0
2024-05-06 13:55:00,167.05,167.12,166.98,167.08,82332.0
2024-05-06 13:50:00,166.9,167.05,166.895,167.04,89673.0
2024-05-06 13:45:00,166.88,167.03,166.84,166.876,97163.0
2024-05-06 13:40:00,166.875,166.91,166.79,166.88,150242.0
2024-05-06 13:35:00,166.9,167.02,166.85,166.875,161835.0
2024-05-06 13:30:00,167.08,167.167,166.9,166.9,214518.0
2024-05-06 13:25:00,167.27,167.34,166.491,167.08,128599.0
2024-05-06 13:20:00,167.095,167.29,167.085,167.29,88147.0
2024-05-06 13:15:00,167.13,167.17,167.01,167.1,133196.0
2024-05-06 13:10:00,167.235,167.24,167.08,167.12,97617.0
2024-05-06 13:05:00,167.275,167.36,167.21,167.21,82216.0
2024-05-06 13:00:00,167.202,167.37,167.18,167.26,115488.0
2024-05-06 12:55:00,167.07,167.26,167.05,167.22,116353.0
2024-05-06 12:50:00,167.05,167.06,166.86,167.06,131948.0
2024-05-06 12:45:00,166.92,167.05,166.87,167.03,123946.0
2024-05-06 12:40:00,166.946,166.995,166.845,166.91,111374.0
2024-05-06 12:35:00,166.945,166.956,166.69,166.94,120812.0
2024-05-06 12:30:00,166.788,166.95,166.76,166.94,100999.0
2024-05-06 12:25:00,166.56,166.81,166.544,166.75,132992.0
2024-05-06 12:20:00,166.435,166.56,166.19,166.556,248153.0
2024-05-06 12:15:00,166.479,166.5,166.35,166.43,138517.0
2024-05-06 12:10:00,166.55,166.58,166.44,166.48,135073.0
2024-05-06 12:05:00,166.521,166.59,166.46,166.55,135980.0
2024-05-06 12:00:00,166.73,166.76,166.52,166.52,146874.0
2024-05-06 11:55:00,166.88,166.97,166.714,166.735,138885.0
2024-05-06 11:50:00,166.995,167.12,166.84,166.89,142574.0
2024-05-06 11:45:00,167.018,167.15,166.99,166.99,135127.0
2024-05-06 11:40:00,167.07,167.29,167.0,167.02,208113.0
